model,contrast,log_odds,se,odds_ratio,ci_low,ci_high,p,documents,fields,ratings,p_holm
above_0,Codex - Claude,0.5496141294016428,0.09773696774394511,1.7325843355090143,1.425271170374508,2.1061595449674595,4.413690098138662e-07,65,24,4206,1.3241070294415987e-06
above_0,Gemini - Claude,0.45887869035074086,0.1579522042461742,1.5822987430339432,1.1541139283619308,2.169343295042225,0.005034473049003757,65,24,4206,0.010068946098007514
above_0,Codex - Gemini,0.09073543905090192,0.13813264164653963,1.094979278177842,0.8309245891173788,1.442946370033944,0.5136185545369294,65,24,4206,0.5136185545369294
above_1,Codex - Claude,1.0282074886034176,0.10966513845652538,2.7960493896284766,2.2459445989330438,3.4808927134514973,1.2546280623336261e-13,65,29,5181,3.763884187000878e-13
above_1,Gemini - Claude,0.6470052625607305,0.11276339237087539,1.9098128683268702,1.5246036729608738,2.392349734369629,2.8310927304532077e-07,65,29,5181,5.662185460906415e-07
above_1,Codex - Gemini,0.38120222604268705,0.1229944262322688,1.4640436432277324,1.1451007374509778,1.8718211587627178,0.0028813786572039115,65,29,5181,0.0028813786572039115
above_2,Codex - Claude,1.614812983658311,0.11233862314682544,5.026947714182871,4.016419302260449,6.29172439911995,1.03665196708828e-21,65,29,5181,3.10995590126484e-21
above_2,Gemini - Claude,0.6736201825566102,0.0957412146759211,1.9613248378080164,1.6198849348610194,2.3747335607715145,1.6095958203306995e-09,65,29,5181,1.6095958203306995e-09
above_2,Codex - Gemini,0.9411928011017008,0.10513186259576936,2.56303678884779,2.077505222494649,3.1620414282756926,6.846391117244307e-13,65,29,5181,1.3692782234488614e-12
above_3,Codex - Claude,1.853851595549018,0.11565258888603483,6.3843622090781835,5.067304346531653,8.043740424749531,4.323432930926496e-24,65,27,5109,1.2970298792779488e-23
above_3,Gemini - Claude,0.9124348432259569,0.10820991396555517,2.4903788393620645,2.006236721296353,3.0913534268951355,5.592353880463775e-12,65,27,5109,5.592353880463775e-12
above_3,Codex - Gemini,0.9414167523230611,0.1065228584209354,2.5636108483453075,2.072204215599607,3.1715506282048858,1.086802310375346e-12,65,27,5109,2.173604620750692e-12
above_4,Codex - Claude,0.9453524204107036,0.19919152653362202,2.573720250326541,1.7287897564670305,3.83160294776263,1.2070478732076052e-05,65,19,3552,3.6211436196228154e-05
above_4,Gemini - Claude,0.2699545650128267,0.215832757122576,1.309904933867315,0.8511040122949767,2.016029663804773,0.21557610666856417,65,19,3552,0.21557610666856417
above_4,Codex - Gemini,0.6753978553978768,0.1802629647540778,1.9648145325538884,1.3706446616790906,2.816555052719283,0.0003867966267800617,65,19,3552,0.0007735932535601234
